sample,boundary_precision,boundary_recall,boundary_f1,boundary_edge_distance,boundary_fixed_edge_count,boundary_moving_edge_count
103_seq385,0.6072727272727273,0.10046312789454934,0.17240476717815048,2.882617473602295,2807,275
104_seq386,0.7037037037037037,0.11107921928817452,0.1918716158914476,2.2679288387298584,3484,216
106_seq388,0.8206896551724138,0.1426344505066251,0.2430306006294221,1.4227656126022339,3849,290
