candidate,plane_depth_mm,t_scale,lwir_cx_offset,lwir_cy_offset,max_residual_shift,aligned_id_mean,aligned_id_min,aligned_id_max,sequence_mean,sequence_min,sequence_max,target_ncc_mean,target_ncc_min,target_ncc_max,target_mi_mean,target_mi_min,target_mi_max,target_edge_distance_mean,target_edge_distance_min,target_edge_distance_max,target_valid_ratio_mean,target_valid_ratio_min,target_valid_ratio_max,raw_rgb_ncc_mean,raw_rgb_ncc_min,raw_rgb_ncc_max,raw_rgb_mi_mean,raw_rgb_mi_min,raw_rgb_mi_max,raw_rgb_edge_distance_mean,raw_rgb_edge_distance_min,raw_rgb_edge_distance_max,valid_ratio_mean,valid_ratio_min,valid_ratio_max,boundary_f1_mean,boundary_f1_min,boundary_f1_max,boundary_edge_distance_mean,boundary_edge_distance_min,boundary_edge_distance_max,boundary_precision_mean,boundary_precision_min,boundary_precision_max,boundary_recall_mean,boundary_recall_min,boundary_recall_max,residual_dx_mean,residual_dx_min,residual_dx_max,residual_dy_mean,residual_dy_min,residual_dy_max,residual_accepted_mean,residual_accepted_min,residual_accepted_max,selection_score,stage
d325_t1.43_ox16_oy4_r0,325.0,1.425,16.0,4.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2598378509283066,0.1462455838918686,0.37440136075019836,0.539216938317567,0.49527104643663733,0.5662967270848139,5.5367499987284345,3.719935417175293,7.0587663650512695,0.8387901475694445,0.8387901475694445,0.8387901475694445,0.2721335639556249,0.2101576030254364,0.3780059218406677,0.17264326758422663,0.14746652905132118,0.18554024964431448,1.5068577130635579,1.3093887567520142,1.6924306154251099,0.8387901475694445,0.8387901475694445,0.8387901475694445,0.18283100663079813,0.16458124029591745,0.21384916753288877,1.5073180198669434,1.3093887567520142,1.6924306154251099,0.843143915942107,0.8066666666666666,0.8866995073891626,0.10286269011399567,0.0912743972445465,0.12326327039543997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26271974818335425,coarse_plane
d300_t1.43_ox12_oy4_r0,300.0,1.425,12.0,4.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26045573751131695,0.15132665634155273,0.3747987747192383,0.5379838708485085,0.49643598013079543,0.5656874826775442,5.757043997446696,3.871988296508789,7.683084011077881,0.8361827256944444,0.8361827256944444,0.8361827256944444,0.27329888939857483,0.22289319336414337,0.37222233414649963,0.17073082906589268,0.14077583709945404,0.18716744773750363,1.6363187630971272,1.2310082912445068,1.928510069847107,0.8361827256944444,0.8361827256944444,0.8361827256944444,0.19759555710235266,0.17289364177368116,0.23448881916755634,1.6373716990152996,1.2329000234603882,1.9297771453857422,0.82412570328903,0.7614678899082569,0.8767123287671232,0.11289542595483952,0.09644087256027555,0.13858211613822585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2626924449241798,coarse_plane
d300_t1.48_ox10_oy4_r0,300.0,1.475,10.0,4.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2611987392107646,0.1537228524684906,0.37580496072769165,0.5376915277406517,0.49661665472106653,0.5651962683822622,5.934523582458496,3.74941349029541,7.580667972564697,0.835244140625,0.835244140625,0.835244140625,0.272119864821434,0.21853500604629517,0.36916080117225647,0.1722589318019477,0.1408229411719893,0.18826556988750145,1.6515803337097168,1.2001707553863525,1.9121397733688354,0.835244140625,0.835244140625,0.835244140625,0.20341507310190873,0.17184477068396498,0.2500544887104029,1.6529409090677898,1.20203697681427,1.9143552780151367,0.8217737342492986,0.7794561933534743,0.8783783783783784,0.11684974007490008,0.09615384615384616,0.14891343070894192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26264692775814164,coarse_plane
d300_t1.43_ox12_oy-4_r0,300.0,1.425,12.0,-4.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2607298841079076,0.1784811168909073,0.3534857928752899,0.5257560857482068,0.48755771210279797,0.5492115131928962,5.687029202779134,4.074204921722412,7.410149097442627,0.823818359375,0.823818359375,0.823818359375,0.11933906748890877,0.019394736737012863,0.19755195081233978,0.1799485239659899,0.1666838550663065,0.19821667441508506,3.923819382985433,2.590427875518799,5.118999004364014,0.823818359375,0.823818359375,0.823818359375,0.1934638665155903,0.17685711062492718,0.20999414464234775,3.923819382985433,2.590427875518799,5.118999004364014,0.5646449626597141,0.4550561797752809,0.6717791411042945,0.11737318835442206,0.1047646383467279,0.12444790854767472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26256870650442266,coarse_plane
d300_t1.43_ox10_oy4_r0,300.0,1.425,10.0,4.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26093629002571106,0.15275904536247253,0.37046903371810913,0.5410096591083532,0.49384811553458907,0.567764223566579,5.879138072331746,3.8009026050567627,7.571211814880371,0.8389659288194444,0.8389659288194444,0.8389659288194444,0.2670747290054957,0.19642777740955353,0.3888552784919739,0.17828810381413662,0.1554820234943403,0.1910488009581568,1.5250287453333538,1.4242645502090454,1.605509638786316,0.8389659288194444,0.8389659288194444,0.8389659288194444,0.19483257734322948,0.18965675266944684,0.20500077651809287,1.5261885325113933,1.4242645502090454,1.6074824333190918,0.834054834054834,0.8,0.8545454545454545,0.1103726800117389,0.10677382319173363,0.11756323477021731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2624535734142997,coarse_plane
d325_t1.48_ox14_oy4_r0,325.0,1.475,14.0,4.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2605091283718745,0.14875511825084686,0.37472233176231384,0.5392033932200161,0.4953319988725114,0.5659862572364642,5.736472288767497,3.6225433349609375,7.266911029815674,0.8381391059027777,0.8381391059027777,0.8381391059027777,0.2719249129295349,0.21239535510540009,0.3791861832141876,0.17307740177237674,0.1495692547254741,0.18484278218492195,1.6436262130737305,1.3345587253570557,1.8059486150741577,0.8381391059027777,0.8381391059027777,0.8381391059027777,0.18501851635436553,0.16968648024951774,0.21318075146397117,1.6440790096918743,1.3345587253570557,1.8059486150741577,0.821117941712204,0.7737704918032787,0.8666666666666667,0.10460792382595437,0.09405040270200052,0.12361952262201639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26230139011798864,coarse_plane
d325_t1.45_ox14_oy4_r0,325.0,1.45,14.0,4.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2600432336330414,0.14885902404785156,0.37161195278167725,0.5408050567428949,0.49438970849785907,0.5665265813070319,5.7628772258758545,3.835156202316284,7.054283618927002,0.8398556857638889,0.8398556857638889,0.8398556857638889,0.26873529454072315,0.1969495564699173,0.38703998923301697,0.17716520611230413,0.15606585464550696,0.1886175492565102,1.5322231849034627,1.4714053869247437,1.6303290128707886,0.8398556857638889,0.8398556857638889,0.8398556857638889,0.1942231048259708,0.1768378112112796,0.22585680091555765,1.536525050799052,1.4843109846115112,1.6303290128707886,0.8347276421261599,0.8146964856230032,0.8468468468468469,0.11019134336657034,0.09872694206287347,0.13110081938012114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26221737835622955,coarse_plane
d300_t1.43_ox10_oy-4_r0,300.0,1.425,10.0,-4.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2612488071123759,0.18098440766334534,0.3496910631656647,0.5282814524960532,0.4854179466119324,0.5503862747614351,5.861932277679443,4.134296894073486,7.692225933074951,0.8265570746527778,0.8265570746527777,0.8265570746527777,0.13234135260184607,0.03639280050992966,0.2016443908214569,0.1894327858938918,0.17967886240438555,0.20705432217968783,4.010422229766846,2.372215747833252,5.164691925048828,0.8265570746527778,0.8265570746527777,0.8265570746527777,0.19438754472524167,0.1753624104953236,0.20938925744648884,4.014738400777181,2.3794116973876953,5.164691925048828,0.5519109736612898,0.4422535211267606,0.6904024767801857,0.11888063935970399,0.10533869115958668,0.1278945493409334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26221066330736403,coarse_plane
d300_t1.45_ox12_oy-4_r0,300.0,1.45,12.0,-4.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.25994918247063953,0.17816099524497986,0.35553282499313354,0.5234100118408299,0.4883245523134784,0.5471269780107654,5.4802751541137695,4.126406192779541,7.15334415435791,0.8219802517361111,0.8219802517361111,0.8219802517361111,0.10792449039096634,0.007521761115640402,0.18964573740959167,0.17553961862198805,0.15946636513401163,0.19494776162743643,4.143426577250163,2.3850908279418945,5.466058254241943,0.8219802517361111,0.8219802517361111,0.8219802517361111,0.1774868558521859,0.15579357351509251,0.20802954007342575,4.143426577250163,2.3850908279418945,5.466058254241943,0.5415098408217675,0.40978593272171254,0.7019230769230769,0.10670708414813851,0.09184845005740529,0.12210963886723825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26211237493060774,coarse_plane
d300_t1.48_ox12_oy4_r0,300.0,1.475,12.0,4.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.25961680710315704,0.15332993865013123,0.38036540150642395,0.5331154690068506,0.49904271293697267,0.5621799960807103,5.613036235173543,3.6658213138580322,7.233691692352295,0.8324707031250002,0.832470703125,0.832470703125,0.2761363337437312,0.22103773057460785,0.3503026068210602,0.16209765715100147,0.1287333590180138,0.17926426680476745,1.6843362251917522,1.0255063772201538,2.0752289295196533,0.8324707031250002,0.832470703125,0.832470703125,0.1887648619298439,0.14370695176239928,0.22266323799977758,1.6849611202875774,1.0273810625076294,2.0752289295196533,0.8256589783471094,0.761744966442953,0.9140271493212669,0.10718584045200062,0.07893226176808267,0.13038831492696829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2620326062389505,coarse_plane
