sample,boundary_precision,boundary_recall,boundary_f1,boundary_edge_distance,boundary_fixed_edge_count,boundary_moving_edge_count
103_seq385,0.580327868852459,0.08799429996437477,0.15281715002778873,3.5581791400909424,2807,305
104_seq386,0.5699481865284974,0.09385763490241102,0.16117360552569612,3.0996735095977783,3484,193
106_seq388,0.8380281690140845,0.13925694985710574,0.2388274301076678,1.421348214149475,3849,284
