sample,image,entropy,average_gradient,spatial_frequency,std,mean_brightness,mi_with_raw_rgb,mi_with_calibrated_lwir,ncc_with_raw_rgb,ncc_with_calibrated_lwir,mean_abs_change_vs_raw_rgb,mean_abs_change_on_alpha,alpha_mean,alpha_coverage,valid_ratio
103_seq385,raw_rgb1,2.2595564381545654,2.005613088607788,1.2563022375106812,4.4083571434021,1.927306890487671,0.7117423190914075,0.10848641892873431,1.0,0.0394170805811882,0.0,0.0,0.0021580460015684366,0.008511284722222222,0.8324164496527777
103_seq385,enhanced_rgb1,3.6447310664626733,23.730375289916992,10.63261890411377,38.4669189453125,27.83527374267578,0.6231111958370177,0.23533383022936602,0.9738908410072327,0.04405821114778519,25.9079647064209,81.09293365478516,0.0021580460015684366,0.008511284722222222,0.8324164496527777
103_seq385,fused_intensity,3.6453490903366372,23.81740379333496,10.63139533996582,38.39961624145508,27.795446395874023,0.6206503443542648,0.2312695246144941,0.974457859992981,0.04430680721998215,25.868139266967773,88.12226104736328,0.0021580460015684366,0.008511284722222222,0.8324164496527777
103_seq385,fused_heat,3.6510007844894097,23.614965438842773,10.472526550292969,38.24751281738281,27.889904022216797,0.6142870009845504,0.2298690389046871,0.9725430607795715,0.04297821968793869,25.96259117126465,87.55673217773438,0.0021580460015684366,0.008511284722222222,0.8324164496527777
104_seq386,raw_rgb1,2.258665236689871,1.9994651079177856,1.2406214475631714,3.9709320068359375,1.897874355316162,0.7127120891455091,0.09761721934684894,1.0,-0.0352485217154026,0.0,0.0,0.0015299692749977112,0.008491753472222223,0.8324164496527777
104_seq386,enhanced_rgb1,3.64088256866849,23.735034942626953,10.705921173095703,38.428192138671875,27.82933235168457,0.6146982252680409,0.22685345178526922,0.9725635647773743,-0.03134671226143837,25.93145751953125,88.05570983886719,0.0015299692749977112,0.008491753472222223,0.8324164496527777
104_seq386,fused_intensity,3.64084819700799,23.810819625854492,10.716805458068848,38.39286422729492,27.782560348510742,0.6120051406558243,0.22384349895417516,0.9732208251953125,-0.031023133546113968,25.884687423706055,93.87745666503906,0.0015299692749977112,0.008491753472222223,0.8324164496527777
104_seq386,fused_heat,3.6464509419879656,23.64076805114746,10.586005210876465,38.49684524536133,27.93849754333496,0.6076055386513913,0.22448964485760353,0.9710872769355774,-0.029538435861468315,26.04062843322754,100.8939437866211,0.0015299692749977112,0.008491753472222223,0.8324164496527777
106_seq388,raw_rgb1,2.208527682899459,1.926551342010498,1.1517879962921143,3.769660711288452,1.7739485502243042,0.6754877344512352,0.09530039571371463,1.0,0.02467229589819908,0.0,0.0,0.001797424047254026,0.009535590277777778,0.8324164496527777
106_seq388,enhanced_rgb1,3.582008856541694,23.60677146911621,10.67420482635498,37.060096740722656,26.68292999267578,0.5902486221827711,0.22903216066302226,0.9727029204368591,0.02790357917547226,24.90897560119629,83.95903778076172,0.001797424047254026,0.009535590277777778,0.8324164496527777
106_seq388,fused_intensity,3.5896431622177687,23.708101272583008,10.690702438354492,37.03591537475586,26.642173767089844,0.5878696844503188,0.22588525630173034,0.9728819727897644,0.02755889855325222,24.868228912353516,90.25215911865234,0.001797424047254026,0.009535590277777778,0.8324164496527777
106_seq388,fused_heat,3.5875308182094803,23.50273895263672,10.539440155029297,37.10466766357422,26.798025131225586,0.5813906138730243,0.22430293206744875,0.9709229469299316,0.02913476899266243,25.024070739746094,96.03845977783203,0.001797424047254026,0.009535590277777778,0.8324164496527777
