sample,image,entropy,average_gradient,spatial_frequency,std,mean_brightness,mi_with_raw_rgb,mi_with_calibrated_lwir,ncc_with_raw_rgb,ncc_with_calibrated_lwir,mean_abs_change_vs_raw_rgb,mean_abs_change_on_alpha,alpha_mean,alpha_coverage,valid_ratio
106_seq388,raw_rgb1,2.208527682899459,1.926551342010498,1.1517879962921143,3.769660711288452,1.7739485502243042,0.6754877344512352,0.08563360935272601,1.0,-0.004003321286290884,0.0,0.0,0.0017495490610599518,0.009894748263888888,0.5987836371527778
106_seq388,enhanced_rgb1,3.582008856541694,23.60677146911621,10.67420482635498,37.060096740722656,26.68292999267578,0.5902486221827711,0.21934641975273983,0.9727029204368591,0.037840887904167175,24.90897560119629,82.15779876708984,0.0017495490610599518,0.009894748263888888,0.5987836371527778
106_seq388,fused_intensity,3.586716115771071,23.696474075317383,10.692011833190918,37.00947952270508,26.64133644104004,0.587609870454203,0.21717547974703277,0.9728344678878784,0.03664664179086685,24.867387771606445,88.14453125,0.0017495490610599518,0.009894748263888888,0.5987836371527778
106_seq388,fused_heat,3.5846787478061386,23.49709701538086,10.55029582977295,36.76898956298828,26.686758041381836,0.5773044170293248,0.21424658927204338,0.9690212607383728,0.044969215989112854,24.91280746459961,82.64118957519531,0.0017495490610599518,0.009894748263888888,0.5987836371527778
104_seq386,raw_rgb1,2.258665236689871,1.9994651079177856,1.2406214475631714,3.9709320068359375,1.897874355316162,0.7127120891455091,0.0730450099478762,1.0,-0.006788895931094885,0.0,0.0,0.001774671720340848,0.009701605902777778,0.6010590277777778
104_seq386,enhanced_rgb1,3.64088256866849,23.735034942626953,10.705921173095703,38.428192138671875,27.82933235168457,0.6146982252680409,0.2060078611340685,0.9725635647773743,0.026086684316396713,25.93145751953125,77.21597290039062,0.001774671720340848,0.009701605902777778,0.6010590277777778
104_seq386,fused_intensity,3.6418999992463332,23.81334686279297,10.722311019897461,38.394287109375,27.801002502441406,0.6112678578938998,0.2044796314787385,0.9730594754219055,0.023308565840125084,25.90312957763672,84.20870208740234,0.001774671720340848,0.009701605902777778,0.6010590277777778
104_seq386,fused_heat,3.6438249549064894,23.624462127685547,10.575302124023438,38.13037109375,27.8217830657959,0.6018878353414632,0.19938751807231048,0.9695466756820679,0.031707145273685455,25.92391014099121,76.5821533203125,0.001774671720340848,0.009701605902777778,0.6010590277777778
103_seq385,raw_rgb1,2.2595564381545654,2.005613088607788,1.2563022375106812,4.4083571434021,1.927306890487671,0.7117423190914075,0.08390330158344723,1.0,0.04512007534503937,0.0,0.0,0.0012913388200104237,0.00920681423611111,0.6049186197916666
103_seq385,enhanced_rgb1,3.6447310664626733,23.730375289916992,10.63261890411377,38.4669189453125,27.83527374267578,0.6231111958370177,0.22204730146400986,0.9738908410072327,0.06565021723508835,25.9079647064209,79.66812133789062,0.0012913388200104237,0.00920681423611111,0.6049186197916666
103_seq385,fused_intensity,3.6450639961183504,23.809431076049805,10.64578628540039,38.42291259765625,27.784591674804688,0.6205317752698731,0.21758665772260508,0.9745946526527405,0.06667736917734146,25.857290267944336,84.95144653320312,0.0012913388200104237,0.00920681423611111,0.6049186197916666
103_seq385,fused_heat,3.6499060098221987,23.65871238708496,10.548246383666992,38.30314254760742,27.848129272460938,0.6157021222034018,0.2166814621946349,0.9721794724464417,0.06959422677755356,25.920820236206055,81.34861755371094,0.0012913388200104237,0.00920681423611111,0.6049186197916666
