sample,image,entropy,average_gradient,spatial_frequency,std,mean_brightness,mi_with_raw_rgb,mi_with_calibrated_lwir,ncc_with_raw_rgb,ncc_with_calibrated_lwir,mean_abs_change_vs_raw_rgb,mean_abs_change_on_alpha,alpha_mean,alpha_coverage,valid_ratio
103_seq385,raw_rgb1,2.2595564381545654,2.005613088607788,1.2563022375106812,4.4083571434021,1.927306890487671,0.7117423190914075,0.10887630512968544,1.0,0.04902210459113121,0.0,0.0,0.0031722798012197018,0.010674913194444444,0.8336512586805556
103_seq385,enhanced_rgb1,3.6447310664626733,23.730375289916992,10.63261890411377,38.4669189453125,27.83527374267578,0.6231111958370177,0.2345310500430675,0.9738908410072327,0.053739920258522034,25.9079647064209,72.49125671386719,0.0031722798012197018,0.010674913194444444,0.8336512586805556
103_seq385,fused_intensity,3.648778834559117,23.849973678588867,10.63044548034668,38.40842819213867,27.843597412109375,0.6186898906814629,0.2278412321618316,0.9736117720603943,0.05313477665185928,25.916290283203125,82.58589172363281,0.0031722798012197018,0.010674913194444444,0.8336512586805556
103_seq385,fused_heat,3.6552674099733946,23.5967960357666,10.434304237365723,38.264156341552734,27.964887619018555,0.6092084962108658,0.2266557097405808,0.9706255793571472,0.05123253911733627,26.037572860717773,84.67462921142578,0.0031722798012197018,0.010674913194444444,0.8336512586805556
104_seq386,raw_rgb1,2.258665236689871,1.9994651079177856,1.2406214475631714,3.9709320068359375,1.897874355316162,0.7127120891455091,0.09775947493223623,1.0,-0.022783569991588593,0.0,0.0,0.002207673853263259,0.010135633680555556,0.8336512586805556
104_seq386,enhanced_rgb1,3.64088256866849,23.735034942626953,10.705921173095703,38.428192138671875,27.82933235168457,0.6146982252680409,0.22479281596130488,0.9725635647773743,-0.01858675666153431,25.93145751953125,80.42875671386719,0.002207673853263259,0.010135633680555556,0.8336512586805556
104_seq386,fused_intensity,3.644260128603223,23.824657440185547,10.716471672058105,38.426578521728516,27.81838035583496,0.6101992447713745,0.22159175196599395,0.972710371017456,-0.020163768902420998,25.920503616333008,88.81768798828125,0.002207673853263259,0.010135633680555556,0.8336512586805556
104_seq386,fused_heat,3.648508186243007,23.632352828979492,10.563800811767578,38.498146057128906,27.97635841369629,0.6044452426225632,0.22063379297560154,0.9696433544158936,-0.016239115968346596,26.078489303588867,94.9101791381836,0.002207673853263259,0.010135633680555556,0.8336512586805556
106_seq388,raw_rgb1,2.208527682899459,1.926551342010498,1.1517879962921143,3.769660711288452,1.7739485502243042,0.6754877344512352,0.09479714963062524,1.0,0.02190273255109787,0.0,0.0,0.0024912389926612377,0.011164279513888889,0.8336512586805556
106_seq388,enhanced_rgb1,3.582008856541694,23.60677146911621,10.67420482635498,37.060096740722656,26.68292999267578,0.5902486221827711,0.22797618167039047,0.9727029204368591,0.025767609477043152,24.90897560119629,79.20545959472656,0.0024912389926612377,0.011164279513888889,0.8336512586805556
106_seq388,fused_intensity,3.5934791001798234,23.724933624267578,10.69233512878418,37.077415466308594,26.677881240844727,0.5860744910433235,0.22393671354563982,0.9723028540611267,0.024006009101867676,24.903932571411133,87.75711822509766,0.0024912389926612377,0.011164279513888889,0.8336512586805556
106_seq388,fused_heat,3.5903572141692983,23.49299430847168,10.520499229431152,37.11043167114258,26.832544326782227,0.5770990028573635,0.22116981792184098,0.9690674543380737,0.027896545827388763,25.058589935302734,92.60404205322266,0.0024912389926612377,0.011164279513888889,0.8336512586805556
