aligned_id,sequence,split,category,subcategory,strategy,dark_mean,calibration_file,lwir_calib_width,lwir_calib_height,plane_depth_mm,lwir_cx_offset,lwir_cy_offset,t_scale,valid_ratio,residual_dx,residual_dy,residual_refine_accepted,raw_lwir_to_rgb_baseline_ncc,raw_lwir_to_rgb_baseline_edge_distance,raw_lwir_to_rgb_calibrated_ncc,raw_lwir_to_rgb_calibrated_edge_distance,raw_lwir_to_rgb_calibrated_mi,raw_lwir_to_rgb_ncc_gain,raw_lwir_to_rgb_edge_distance_gain,fusion_entropy_gain_vs_raw_rgb,fusion_avg_gradient_gain_vs_raw_rgb,fusion_mi_with_lwir,fusion_mi_with_raw_rgb,fusion_mean_abs_change_vs_raw_rgb,fusion_alpha_mean,fusion_alpha_coverage,quad,five_panel,edge_review
103,385,test,Fruit,Lemon,calibration_plane,1.927306857638889,calibration\def_stereocalib_THERM.yml,1280.0,720.0,325.0,14.0,0.0,1.45,0.8336512586805556,2,-2,True,-0.10151652991771698,21.766035079956055,0.3666345179080963,2.882617473602295,0.1855580068295201,0.4681510478258133,18.88341760635376,1.3957109718188292,21.591182947158813,0.2266557097405808,0.6092084962108658,26.037572860717773,0.0031722798012197018,0.010674913194444444,darklight_mm5\outputs_calibration_plane_opt\quads\dl_opt_s103_quad.png,darklight_mm5\outputs_calibration_plane_opt\five_panels\dl_opt_s103_p5.png,darklight_mm5\outputs_calibration_plane_opt\edge_reviews\dl_opt_s103_edge_rev.png
104,386,val,Fruit,Lemon,calibration_plane,1.8978743489583334,calibration\def_stereocalib_THERM.yml,1280.0,720.0,325.0,14.0,0.0,1.45,0.8336512586805556,2,-2,True,-0.20513519644737244,27.880531311035156,0.18424658477306366,2.2679288387298584,0.15803833532186604,0.3893817812204361,25.612602472305298,1.389842949553136,21.632887721061707,0.22063379297560154,0.6044452426225632,26.078489303588867,0.002207673853263259,0.010135633680555556,darklight_mm5\outputs_calibration_plane_opt\quads\dl_opt_s104_quad.png,darklight_mm5\outputs_calibration_plane_opt\five_panels\dl_opt_s104_p5.png,darklight_mm5\outputs_calibration_plane_opt\edge_reviews\dl_opt_s104_edge_rev.png
106,388,test,Fruit,Lemon,calibration_plane,1.7739485677083333,calibration\def_stereocalib_THERM.yml,1280.0,720.0,325.0,14.0,0.0,1.45,0.8336512586805556,0,0,False,-0.2080843299627304,29.725746154785156,0.23875899612903595,1.4213368892669678,0.21212317810590683,0.44684332609176636,28.30440926551819,1.3818295312698394,21.56644296646118,0.22116981792184098,0.5770990028573635,25.058589935302734,0.0024912389926612377,0.011164279513888889,darklight_mm5\outputs_calibration_plane_opt\quads\dl_opt_s106_quad.png,darklight_mm5\outputs_calibration_plane_opt\five_panels\dl_opt_s106_p5.png,darklight_mm5\outputs_calibration_plane_opt\edge_reviews\dl_opt_s106_edge_rev.png
