candidate,samples,method,lwir_crop_offset_xy,rule_source,pose_set,rectify_size,stereo_rectify_alpha,stereo_rectify_flags,lwir_crop_mode,rgb_valid_ratio_mean,rgb_valid_ratio_min,lwir_valid_ratio_mean,lwir_valid_ratio_min,intersection_valid_ratio_mean,intersection_valid_ratio_min,eval_rgb_to_mm5_aligned_rgb_ncc_mean,eval_rgb_to_mm5_aligned_rgb_ncc_min,eval_lwir_to_mm5_aligned_t16_ncc_mean,eval_lwir_to_mm5_aligned_t16_ncc_min,eval_lwir_to_mm5_aligned_t16_edge_distance_mean,eval_lwir_to_mm5_aligned_t16_edge_distance_min,eval_cross_rgb_lwir_ncc_mean,eval_cross_rgb_lwir_ncc_min,depth_used,depth_valid_policy,depth_registration_dx_px,depth_registration_dy_px,depth_registration_search_radius_px,depth_registration_score,depth_registration_baseline_score,depth_registration_score_gain,depth_foreground_threshold_mm,depth_fill_pixels_mean,depth_fill_pixels_min,depth_fill_ratio_mean,depth_fill_ratio_min,depth_project_valid_ratio_mean,depth_project_valid_ratio_min,depth_boundary_pixels_mean,depth_boundary_pixels_min,depth_foreground_ratio_mean,depth_foreground_ratio_min,depth_valid_ratio_mean,depth_valid_ratio_min
phase25_depth_registered_global_shift_depth_fill,3,depth_boundary_registered_global_translation_depth_fill,"[280, 115]",Global residual translation selected by raw depth foreground-boundary distance to generated LWIR edges; MM5 aligned images are evaluation-only,,,,,board_all_median_floor,1.0,1.0,0.931455078125,0.931455078125,0.931455078125,0.931455078125,0.9865230917930603,0.9724054932594299,0.9320866664250692,0.9260740280151367,14.84990151723226,11.610614776611328,-0.29394012192885083,-0.3869897723197937,True,shifted_phase24_valid_mask,-2,2,2,22.33725929260254,23.50252914428711,1.1652698516845703,1000.0,19610.666666666668,19562.0,0.06383680555555556,0.06367838541666666,0.8936013454861111,0.8919889322916666,6038.666666666667,5950.0,0.28200954861111116,0.28031575520833335,,
phase25_depth_registered_global_shift,3,depth_boundary_registered_global_translation,"[280, 115]",Global residual translation selected by raw depth foreground-boundary distance to generated LWIR edges; MM5 aligned images are evaluation-only,,,,,board_all_median_floor,1.0,1.0,0.931455078125,0.931455078125,0.931455078125,0.931455078125,0.9865230917930603,0.9724054932594299,0.923653801282247,0.9173933267593384,16.925086339314777,14.6903657913208,-0.2929205894470215,-0.38623008131980896,True,shifted_phase24_valid_mask,-2,2,2,22.33725929260254,23.50252914428711,1.1652698516845703,1000.0,0.0,0.0,0.0,0.0,0.8936013454861111,0.8919889322916666,6038.666666666667,5950.0,0.28200954861111116,0.28031575520833335,,
phase25_depth_holefill_keep_phase24_valid,3,phase24_affine_depth_border_holefill,"[280, 115]",Phase 24 affine geometry fitted from calibration-board corners; depth projection fills only pixels outside the Phase 24 valid support,,,,,board_all_median_floor,1.0,1.0,0.9348372395833332,0.9348372395833333,0.9348372395833332,0.9348372395833333,0.9865230917930603,0.9724054932594299,0.9232337872187296,0.9162735939025879,16.982014973958332,12.95654296875,-0.3219027320543925,-0.4178033471107483,True,keep_phase24_valid_mask,,,,,,,,18546.666666666668,18501.0,0.06037326388888889,0.060224609375,0.8936013454861111,0.8919889322916666,,,,,,
phase25_median_holefill_control,3,phase24_affine_median_holefill_control,"[280, 115]","control candidate; no depth, fills invalid border with median thermal value",,,,,board_all_median_floor,1.0,1.0,0.9348372395833332,0.9348372395833333,0.9348372395833332,0.9348372395833333,0.9865230917930603,0.9724054932594299,0.9209208885828654,0.9144355058670044,18.22941239674886,12.217543601989746,-0.31978242595990497,-0.41663479804992676,False,keep_phase24_valid_mask,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,
phase25_depth_holefill_union_valid,3,phase24_affine_depth_border_holefill_union_valid,"[280, 115]",Phase 24 affine geometry fitted from calibration-board corners; depth projection fills only pixels outside the Phase 24 valid support,,,,,board_all_median_floor,1.0,1.0,0.9952105034722223,0.9950618489583334,0.9952105034722223,0.9950618489583334,0.9865230917930603,0.9724054932594299,0.9205789764722189,0.9130797982215881,20.58368492126465,16.570842742919922,-0.31861426929632825,-0.4132227897644043,True,union_phase24_and_depth,,,,,,,,18546.666666666668,18501.0,0.06037326388888889,0.060224609375,0.8936013454861111,0.8919889322916666,,,,,,
phase24_affine_lmeds_baseline,3,phase24_affine_lwir_only,"[280, 115]",estimateAffine2D LMEDS,,,,,board_all_median_floor,1.0,1.0,0.9348372395833332,0.9348372395833333,0.9348372395833332,0.9348372395833333,0.9865230917930603,0.9724054932594299,0.9181740880012512,0.9118499755859375,15.266138394673666,11.159561157226562,-0.3213346302509308,-0.4168842136859894,False,phase24_valid_mask,,,,,,,,,,,,,,,,,,,
phase25_depth_project_raw_lwir,3,depth_project_raw_lwir,[],raw depth image + RGB->LWIR stereo calibration; no MM5 aligned input,,,,,,1.0,1.0,0.8936013454861111,0.8919889322916666,0.8936013454861111,0.8919889322916666,0.9865230917930603,0.9724054932594299,0.7638120651245117,0.7441204786300659,20.821854909261067,18.076013565063477,-0.20460113883018494,-0.22986046969890594,True,,,,,,,,,,,,,0.8936013454861111,0.8919889322916666,,,,,0.8936013454861111,0.8919889322916666
