candidate,transform_type,inliers,board_mae_px,board_rmse_px,matrix,source
affine_lmeds,affine,1496,5.984659671783447,7.825484275817871,"[[0.964242690293037, 0.13137386244365368, -26.99199754875218], [-0.06631033534806513, 0.9894192701549352, 24.920322865264623]]",estimateAffine2D LMEDS
homography_ransac,homography,1070,6.501046657562256,9.167396545410156,"[[0.9247350199848409, 0.10968606091025253, -17.43818835122805], [-0.10659495495316601, 0.9970549136908928, 31.2029424450549], [-0.00011600760052764847, 6.451061669042886e-05, 1.0]]",findHomography RANSAC 4.0px
affine_ransac,affine,985,6.774439811706543,9.472308158874512,"[[0.9744121869655977, 0.09297996744892337, -21.475454757838847], [-0.07297984297635428, 0.9994555452236915, 24.796844872663787]]",estimateAffine2D RANSAC 4.0px
similarity_lmeds,affine,1144,7.094717025756836,9.726682662963867,"[[0.9887220199845641, 0.08093495749001282, -23.032512690295647], [-0.08093495749001282, 0.9887220199845641, 30.616725250348672]]",estimateAffinePartial2D LMEDS
similarity_ransac,affine,1011,7.238325595855713,9.996578216552734,"[[0.9947116768874393, 0.0813959120236656, -25.8017789062238], [-0.0813959120236656, 0.9947116768874393, 29.211009923991952]]",estimateAffinePartial2D RANSAC 4.0px
phase23_crop_only,identity_affine,1848,11.794031143188477,13.805673599243164,"[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0]]",Phase 23 crop only; no residual transform
