variant,score,aligned_id_mean,aligned_id_min,aligned_id_max,sequence_mean,sequence_min,sequence_max,target_ncc_mean,target_ncc_min,target_ncc_max,target_mi_mean,target_mi_min,target_mi_max,target_edge_distance_mean,target_edge_distance_min,target_edge_distance_max,target_valid_ratio_mean,target_valid_ratio_min,target_valid_ratio_max,raw_rgb_ncc_mean,raw_rgb_ncc_min,raw_rgb_ncc_max,raw_rgb_mi_mean,raw_rgb_mi_min,raw_rgb_mi_max,raw_rgb_edge_distance_mean,raw_rgb_edge_distance_min,raw_rgb_edge_distance_max,valid_ratio_mean,valid_ratio_min,valid_ratio_max,fusion_entropy_gain_vs_raw_rgb_mean,fusion_entropy_gain_vs_raw_rgb_min,fusion_entropy_gain_vs_raw_rgb_max,fusion_alpha_coverage_mean,fusion_alpha_coverage_min,fusion_alpha_coverage_max,raw_refine_dx_mean,raw_refine_dx_min,raw_refine_dx_max,raw_refine_dy_mean,raw_refine_dy_min,raw_refine_dy_max,raw_refine_accepted_mean,raw_refine_accepted_min,raw_refine_accepted_max
global_flow_raw_refined,0.2858681612337569,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.3073801000912984,0.26783910393714905,0.3821712136268616,0.5394562346238694,0.4940323870820953,0.5676723745129864,4.848475058873494,2.9437458515167236,6.890771865844727,0.8142679398148148,0.8125716145833334,0.8153157552083333,0.23965182403723398,0.1678028255701065,0.3286876082420349,0.160153809712866,0.1537855708832526,0.16935190111403658,1.4896984100341797,1.3212151527404785,1.7427836656570435,0.8142679398148148,0.8125716145833334,0.8153157552083333,1.387116512169565,1.3802716247509403,1.39187417305028,0.008713469328703705,0.008249782986111112,0.009368489583333334,-0.6666666666666666,-2.0,2.0,1.3333333333333333,0.0,2.0,1.0,1.0,1.0
global_flow,0.28451509476182035,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.31345800558725995,0.2694559693336487,0.3894576132297516,0.5445384026521788,0.4966896680681552,0.5686684447074741,5.616983095804851,2.8363165855407715,9.157261848449707,0.8151808449074074,0.8148958333333334,0.8153233506944444,0.21274000157912573,0.11894435435533524,0.3117564022541046,0.1557942883228604,0.1495757610188248,0.16509367170431088,1.2422953844070435,1.019446611404419,1.431695818901062,0.8151808449074074,0.8148958333333334,0.8153233506944444,1.3869535774370323,1.3798607275867312,1.3921443386709895,0.008646195023148147,0.00831814236111111,0.009208984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global_affine,0.23505015382466907,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2623670945564906,0.16870535910129547,0.3648748993873596,0.5388221719460075,0.49268743856707126,0.5649333951669814,5.4258049329121905,3.9272403717041016,6.602059364318848,0.8336512586805555,0.8336512586805556,0.8336512586805556,0.2632133662700653,0.18424658477306366,0.3666345179080963,0.18523984008576433,0.15803833532186604,0.21212317810590683,2.1906277338663735,1.4213368892669678,2.882617473602295,0.8336512586805555,0.8336512586805556,0.8336512586805556,1.3857640878419908,1.3782713729161014,1.3919407399793107,0.008664641203703704,0.008340928819444444,0.009141710069444444,0.0,-2.0,2.0,-1.3333333333333333,-2.0,0.0,0.6666666666666666,0.0,1.0
global_affine_raw_refined,0.234357762819919,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2610550969839096,0.16531918942928314,0.36432507634162903,0.5394664026576875,0.4919188603565959,0.5676346655124967,5.3670654296875,3.975926399230957,6.602059364318848,0.8336512586805555,0.8336512586805556,0.8336512586805556,0.2813343008359273,0.20960025489330292,0.3956436514854431,0.18459253175618143,0.15109444203446706,0.21212317810590683,1.7363783915837605,1.4213368892669678,1.9640452861785889,0.8336512586805555,0.8336512586805556,0.8336512586805556,1.3865378973188485,1.3782713729161014,1.393022315623349,0.008740596064814815,0.008497178819444444,0.009141710069444444,0.0,-2.0,2.0,-1.3333333333333333,-2.0,0.0,0.6666666666666666,0.0,1.0
