sample_id,candidate,raw_score,raw_symmetric_edge_distance,eval_edge,phase29_selector_eligible,phase29_selector_rejection,phase29_selector_adjusted_score,phase29_selector_rule,phase29_selector_shift_delta_dx,phase29_selector_shift_delta_dy,phase29_selector_shift_l1,phase29_selector_raw_improvement,phase29_selector_edge_growth,phase29_selector_support_ratio,phase29_selector_target_edge_gain,phase29_selector_target_p90_gain,phase29_selector_context_edge_delta,phase29_selector_version_effective,phase29_selector_reliability_gate,phase29_selector_v9_note
302_seq588,p29_baseline,13.640401287386068,6.031586945056915,2.5895707607269287,False,,13.640401287386068,v6_baseline,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,v6,strict,v6 baseline row; aligned metrics are not used for selection.
302_seq588,p29_depth_conservative,13.439618693159298,5.779151737689972,8.52141284942627,False,depth/reflection/edge guard candidates are diagnostic-only by default,13.439618693159298,diagnostic_guard_block,0.0,0.0,0.0,0.20078259422676936,1.0,0.9221695245044388,0.1805424690246582,0.47749996185302734,-0.25243520736694336,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
302_seq588,p29_reflection_guard,13.428620542903179,5.779151737689972,8.52141284942627,False,depth/reflection/edge guard candidates are diagnostic-only by default,13.428620542903179,diagnostic_guard_block,0.0,0.0,0.0,0.21178074448288875,1.0,0.9221695245044388,0.1805424690246582,0.47749996185302734,-0.25243520736694336,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
302_seq588,p29_small_target_guard,13.628971836373765,6.006861388683319,2.573350191116333,False,raw improvement 0.0114 is below 0.6500,13.848971836373765,small_target_guard_block,0.0,0.0,0.0,0.01142945101230275,1.004120879120879,1.0,0.018029093742370605,0.0807499885559082,-0.02472555637359619,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
302_seq588,p29_edge_contamination_guard,13.439618693159298,5.779151737689972,8.52141284942627,False,depth/reflection/edge guard candidates are diagnostic-only by default,13.439618693159298,diagnostic_guard_block,0.0,0.0,0.0,0.20078259422676936,1.0,0.9221695245044388,0.1805424690246582,0.47749996185302734,-0.25243520736694336,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
302_seq588,p29_v9_support_gated,13.321792914590294,5.796304643154144,1.1187201738357544,False,v9 support-gated mode is reserved for reflection/background scenes,11.14441,v9_reflection_block,0.0,0.0,0.0,0.31860837279577403,1.0082417582417582,0.9221695245044388,0.17052507400512695,0.47925662994384766,-0.235282301902771,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
302_seq588,p29_v9_support_gated_tight,13.196928823168552,5.576365530490875,1.1390045881271362,False,v9 support candidate mode is diagnostic-only unless a dedicated raw/depth gate allows it,11.12181,v9_mode_block,0.0,0.0,0.0,0.44347246421751585,1.004120879120879,0.8443390490088776,0.32905060052871704,0.9549999237060547,-0.45522141456604004,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
302_seq588,p29_v9_target_only,20.443501498935767,12.714198768138885,1.484632134437561,True,,1.24274,v9_weak_target_only,0.0,0.0,0.0,-6.803100211549699,0.4574175824175824,0.8443390490088776,-5.578420519828796,-11.23213815689087,6.68261182308197,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
302_seq588,p29_v9_depth_thermal,13.314523150927338,5.787559628486633,1.1328984498977661,False,v9 depth-thermal mode is reserved for double-edge mismatch scenes,11.144010000000002,v9_depth_thermal_block,0.0,0.0,0.0,0.32587813645873,1.0123626373626373,0.9221695245044388,0.17698663473129272,0.47749996185302734,-0.24402731657028198,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
302_seq588,p29_v9_target_silhouette,22.882664730195515,14.720951855182648,2.2312986850738525,False,v9 silhouette blocked because baseline thermal target is too small,10.162740000000001,v9_silhouette_block,0.0,0.0,0.0,-9.242263442809447,0.4024725274725275,0.9221695245044388,-7.343308329582214,-14.157176494598389,8.689364910125732,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
302_seq588,p29_raw_shift_dx2p5_dy1p0_fill,13.492446773066563,5.946223199367523,2.909874439239502,False,raw improvement 0.1480 is below 0.6000,13.592446773066563,generic_block,-1.0,-1.0,2.0,0.14795451431950468,1.004120879120879,1.0,0.0970989465713501,0.1614999771118164,-0.08536374568939209,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
