sample_id,candidate,raw_score,raw_symmetric_edge_distance,eval_edge,phase29_selector_eligible,phase29_selector_rejection,phase29_selector_adjusted_score,phase29_selector_rule,phase29_selector_shift_delta_dx,phase29_selector_shift_delta_dy,phase29_selector_shift_l1,phase29_selector_raw_improvement,phase29_selector_edge_growth,phase29_selector_support_ratio,phase29_selector_target_edge_gain,phase29_selector_target_p90_gain,phase29_selector_context_edge_delta,phase29_selector_version_effective,phase29_selector_reliability_gate,phase29_selector_v9_note
103_seq385,p29_baseline,17.630863295972038,9.045949459075928,2.7134954929351807,False,,17.630863295972038,v6_baseline,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,v6,strict,v6 baseline row; aligned metrics are not used for selection.
103_seq385,p29_depth_conservative,16.47727991311813,7.864358872175217,6.443922519683838,False,depth/reflection/edge guard candidates are diagnostic-only by default,16.47727991311813,diagnostic_guard_block,0.0,0.0,0.0,1.1535833828539062,1.170731707317073,0.9117024493498639,1.1113019585609436,2.559528350830078,-1.181590586900711,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
103_seq385,p29_reflection_guard,16.41459671412546,7.864358872175217,6.443922519683838,False,depth/reflection/edge guard candidates are diagnostic-only by default,16.41459671412546,diagnostic_guard_block,0.0,0.0,0.0,1.216266581846579,1.170731707317073,0.9225884487450862,1.1113019585609436,2.559528350830078,-1.181590586900711,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
103_seq385,p29_small_target_guard,16.992825562682963,8.464363396167755,2.859020471572876,False,raw improvement 0.6380 is below 0.6500,17.212825562682962,small_target_guard_block,0.0,0.0,0.0,0.6380377332890745,1.2717770034843205,1.0,0.6130253076553345,0.8468666076660156,-0.5815860629081726,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
103_seq385,p29_edge_contamination_guard,16.445628435031484,7.864358872175217,6.443922519683838,False,depth/reflection/edge guard candidates are diagnostic-only by default,16.445628435031484,diagnostic_guard_block,0.0,0.0,0.0,1.1852348609405539,1.170731707317073,0.9244027819776233,1.1113019585609436,2.559528350830078,-1.181590586900711,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
103_seq385,p29_v9_support_gated,14.658823836253696,6.514762759208679,1.6942834854125977,False,v9 support-gated mode is reserved for reflection/background scenes,10.5695,v9_reflection_block,0.0,0.0,0.0,2.972039459718342,1.5923344947735192,0.9244027819776233,2.0867207050323486,4.929478645324707,-2.5311866998672485,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
103_seq385,p29_v9_support_gated_tight,15.65312808773168,7.313455134630203,1.6368458271026611,False,v9 support candidate mode is diagnostic-only unless a dedicated raw/depth gate allows it,10.386909999999999,v9_mode_block,0.0,0.0,0.0,1.9777352082403574,1.2996515679442509,0.8500151194436045,1.4226459562778473,3.539820671081543,-1.7324943244457245,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
103_seq385,p29_v9_target_only,41.33990212337863,32.77511623501778,1.8925684690475464,True,,1.19529,v9_weak_target_only,0.0,0.0,0.0,-23.70903882740659,0.4425087108013937,0.8500151194436045,-25.194965451955795,-47.14013534784317,23.72916677594185,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
103_seq385,p29_v9_depth_thermal,15.667957201616638,7.431510329246521,1.6759668588638306,False,v9 depth-thermal mode is reserved for double-edge mismatch scenes,10.453980000000001,v9_depth_thermal_block,0.0,0.0,0.0,1.9629060943554002,1.4006968641114983,0.9244027819776233,1.415601521730423,3.321427345275879,-1.6144391298294067,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
103_seq385,p29_v9_target_silhouette,40.103520212901515,31.495904684066772,5.947861671447754,False,v9 silhouette blocked because baseline thermal target is too small,10.13529,v9_silhouette_block,0.0,0.0,0.0,-22.472656916929477,0.5470383275261324,0.9244027819776233,-24.257807463407516,-46.226220190525055,22.449955224990845,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
103_seq385,p29_raw_shift_dx2p5_dy1p0_fill,17.482212951597408,8.885608702898026,2.677494525909424,False,raw improvement 0.1487 is below 0.6000,17.58221295159741,generic_block,-1.0,-1.0,2.0,0.1486503443746301,1.0557491289198606,1.0,0.2136559784412384,1.127028465270996,-0.16034075617790222,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
